ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
3,A549,0,1,2,15,control,0.2910225407004591,0.03889882362085989
4,A549,0,1,2,15,control,0.2352832942199954,-0.0168404228596038
5,A549,0,1,2,15,control,0.17467753056674123,-0.07744618651285795
1,A549,0,1,2,16,control,0.20421153768066355,-0.047912179398935634
2,A549,0,1,2,16,control,0.20756032296687277,-0.04456339411272642
1,A549,0,1,2,17,control,0.45194399378687355,0.19982027670727437
2,A549,0,1,2,17,control,0.3788810738985363,0.12675735681893713
3,A549,0,1,2,17,control,0.24844616284187532,-0.003677554237723868
4,A549,0,1,2,17,control,0.20389158991547401,-0.04823212716412517
1,A549,0,1,2,18,control,0.2301518402440382,-0.021971876835560983
1,A549,0,1,2,19,control,0.4613402336157927,0.2092165165361935
2,A549,0,1,2,19,control,0.5115508880349122,0.25942717095531304
3,A549,0,1,2,19,control,0.3183723132936854,0.06624859621408624
4,A549,0,1,2,19,control,0.36408100018305517,0.11195728310345598
1,A549,0,1,2,2,control,0.2942059655156151,0.042082248436015934
2,A549,0,1,2,2,control,0.29739449196289275,0.04527077488329356
3,A549,0,1,2,2,control,0.20300272024251448,-0.04912099683708471
4,A549,0,1,2,2,control,0.19615798523495492,-0.05596573184464426
5,A549,0,1,2,2,control,0.24011942343319714,-0.012004293646402042
1,A549,0,1,2,3,control,0.32792920931028907,0.07580549223068989
2,A549,0,1,2,3,control,0.3689417236747069,0.11681800659510772
3,A549,0,1,2,3,control,0.31073021718926463,0.05860650010966545
4,A549,0,1,2,3,control,0.2733814991846974,0.02125778210509821
1,A549,0,1,2,4,control,0.22578392522976315,-0.026339791849836036
2,A549,0,1,2,4,control,0.39430176687622154,0.14217804979662235
3,A549,0,1,2,4,control,0.19905136324167488,-0.0530723538379243
1,A549,0,1,2,5,control,0.40100355934925547,0.14887984226965628
2,A549,0,1,2,5,control,0.4414425528375947,0.18931883575799552
1,A549,0,1,2,6,control,0.2421217595018133,-0.01000195757778588
1,A549,0,1,2,7,control,0.5656874064023103,0.3135636893227111
2,A549,0,1,2,7,control,0.40224738243425273,0.15012366535465355
1,A549,0,1,2,8,control,0.33922233016989967,0.08709861309030048
2,A549,0,1,2,8,control,0.16986867635476216,-0.08225504072483703
1,A549,0,1,2,9,control,0.28825879169941826,0.036135074619819074
2,A549,0,1,2,9,control,0.31681742765902543,0.06469371057942624
3,A549,0,1,2,9,control,0.21351908878710385,-0.038604628292495335
1,A549,0,3,2,0,control,0.3889427625926751,0.1368190455130759
1,A549,0,3,2,1,control,0.20360807005390882,-0.04851564702569036
2,A549,0,3,2,1,control,0.08448412653609397,-0.16763959054350522
3,A549,0,3,2,1,control,0.10405949995023869,-0.1480642171293605
4,A549,0,3,2,1,control,0.17788379695516884,-0.07423992012443034
5,A549,0,3,2,1,control,0.11772938922507192,-0.13439432785452726
6,A549,0,3,2,1,control,0.10788023995293602,-0.14424347712666316
1,A549,0,3,2,10,control,0.1833792591067747,-0.0687444579728245
2,A549,0,3,2,10,control,0.13984625549058602,-0.11227746158901317
3,A549,0,3,2,10,control,0.11218864757446204,-0.13993506950513715
4,A549,0,3,2,10,control,0.09287685721931549,-0.1592468598602837
1,A549,0,3,2,11,control,0.2138609054508736,-0.03826281162872558
2,A549,0,3,2,11,control,0.16947874244471103,-0.08264497463488815
1,A549,0,3,2,12,control,0.15226651042914005,-0.09985720665045913
2,A549,0,3,2,12,control,0.20976317170400138,-0.0423605453755978
3,A549,0,3,2,12,control,0.11937580625585702,-0.13274791082374215
1,A549,0,3,2,13,control,0.08573883722803773,-0.16638487985156147
2,A549,0,3,2,13,control,0.13847046956221618,-0.11365324751738301
3,A549,0,3,2,13,control,0.1854301627422616,-0.06669355433733759
1,A549,0,3,2,14,control,0.07473261314156557,-0.17739110393803362
2,A549,0,3,2,14,control,0.12768341318550067,-0.12444030389409852
1,A549,0,3,2,2,control,0.25284802243576043,0.0007243053561612478
2,A549,0,3,2,2,control,0.28708226269230197,0.034958545612702785
3,A549,0,3,2,2,control,0.2310901346209148,-0.02103358245868439
1,A549,0,3,2,4,control,0.17123642739689732,-0.08088728968270187
2,A549,0,3,2,4,control,0.1792969107918671,-0.07282680628773208
3,A549,0,3,2,4,control,0.09857267402833021,-0.153551043051269
4,A549,0,3,2,4,control,0.2345475347840022,-0.017576182295596987
5,A549,0,3,2,4,control,0.16385078751793958,-0.08827292956165961
1,A549,0,3,2,5,control,0.10110187058959401,-0.15102184649000516
2,A549,0,3,2,5,control,0.23029615858825236,-0.02182755849134682
3,A549,0,3,2,5,control,0.10417708794138547,-0.14794662913821371
4,A549,0,3,2,5,control,0.09343711409373971,-0.15868660298585946
1,A549,0,3,2,6,control,0.29475947569645855,0.042635758616859365
2,A549,0,3,2,6,control,0.24850086000122404,-0.003622857078375147
3,A549,0,3,2,6,control,0.3054757247471661,0.053352007667566925
1,A549,0,3,2,7,control,0.09891808544578262,-0.15320563163381656
2,A549,0,3,2,7,control,0.15669922438843617,-0.09542449269116302
3,A549,0,3,2,7,control,0.11646789893757088,-0.13565581814202832
4,A549,0,3,2,7,control,0.16930672969699975,-0.08281698738259943
1,A549,0,3,2,8,control,0.16750197681712028,-0.0846217402624789
2,A549,0,3,2,8,control,0.19825212022205402,-0.05387159685754517
3,A549,0,3,2,8,control,0.2439808859496752,-0.008142831129923978
4,A549,0,3,2,8,control,0.13362715464057573,-0.11849656243902346
5,A549,0,3,2,8,control,0.2608709740403284,0.0087472569607292
1,A549,0,3,2,9,control,0.19148889511579986,-0.060634821963799324
2,A549,0,3,2,9,control,0.1428303958440796,-0.10929332123551957
3,A549,0,3,2,9,control,0.12536947034351995,-0.12675424673607924
4,A549,0,3,2,9,control,0.14257077066652818,-0.109552946413071
5,A549,0,3,2,9,control,0.24048490604623246,-0.011638811033366725
6,A549,0,3,2,9,control,0.20032258767174876,-0.05180112940785042
