ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,S
2,A549,0,1,2,16,control,0.22964946085032628,-0.0880948318409297
1,A549,0,1,2,17,control,0.2406722137202074,-0.07707207897104859
2,A549,0,1,2,17,control,0.29180193669239995,-0.025942355998856026
3,A549,0,1,2,17,control,0.24614771387498874,-0.07159657881626724
4,A549,0,1,2,17,control,0.35066730189987033,0.03292300920861435
1,A549,0,1,2,18,control,0.476350420508277,0.158606127817021
1,A549,0,1,2,19,control,0.1945325514126254,-0.12321174127863058
2,A549,0,1,2,19,control,0.3600118726807303,0.042267579989474335
3,A549,0,1,2,19,control,0.35381088464980226,0.03606659195854628
4,A549,0,1,2,19,control,0.43067667139569094,0.11293237870443495
1,A549,0,1,2,2,control,0.36375488724168603,0.04601059455043005
2,A549,0,1,2,2,control,0.20344583480283526,-0.11429845788842072
3,A549,0,1,2,2,control,0.25892511513509203,-0.05881917755616395
4,A549,0,1,2,2,control,0.49000614356402317,0.17226185087276719
5,A549,0,1,2,2,control,0.2429426866961565,-0.07480160599509947
1,A549,0,1,2,3,control,0.15565527951505626,-0.16208901317619973
2,A549,0,1,2,3,control,0.2134896701298163,-0.10425462256143969
3,A549,0,1,2,3,control,0.3358288833744604,0.018084590683204393
4,A549,0,1,2,3,control,0.2926348460610039,-0.025109446630252108
1,A549,0,1,2,4,control,0.24627773917186618,-0.0714665535193898
2,A549,0,1,2,4,control,0.1842158223493881,-0.13352847034186788
3,A549,0,1,2,4,control,0.4656567253430953,0.14791243265183934
1,A549,0,1,2,5,control,0.4166337466614841,0.09888945397022814
2,A549,0,1,2,5,control,0.4175519789285381,0.09980768623728214
1,A549,0,1,2,6,control,0.26277698644609926,-0.05496730624515672
1,A549,0,1,2,7,control,0.26405492014394494,-0.05368937254731104
2,A549,0,1,2,7,control,0.5374472620514658,0.21970296936020978
1,A549,0,1,2,8,control,0.2887273641046241,-0.029016928586631907
2,A549,0,1,2,8,control,0.5872850091081336,0.26954071641687766
1,A549,0,1,2,9,control,0.2467378693997396,-0.07100642329151638
2,A549,0,1,2,9,control,0.8400606723419765,0.5223163796507204
3,A549,0,1,2,9,control,0.18446663538406577,-0.1332776573071902
1,A549,0,3,2,0,control,0.3469867421370461,0.02924244944579013
1,A549,0,3,2,1,control,0.17698815038740598,-0.14075614230385
2,A549,0,3,2,1,control,0.1438540318836423,-0.1738902608076137
3,A549,0,3,2,1,control,0.08342664176058445,-0.23431765093067153
4,A549,0,3,2,1,control,0.24415691527067468,-0.0735873774205813
5,A549,0,3,2,1,control,0.2940392067339087,-0.02370508595734727
6,A549,0,3,2,1,control,0.19480548499548694,-0.12293880769576904
1,A549,0,3,2,10,control,0.5858586641872046,0.2681143714959486
2,A549,0,3,2,10,control,0.09097424823679201,-0.22677004445446397
3,A549,0,3,2,10,control,0.18347669252016238,-0.1342676001710936
4,A549,0,3,2,10,control,0.2018835155542587,-0.11586077713699727
1,A549,0,3,2,11,control,0.5815025748044441,0.26375828211318814
2,A549,0,3,2,11,control,0.49634639681826204,0.17860210412700606
1,A549,0,3,2,12,control,0.25885784250497235,-0.058886450186283634
2,A549,0,3,2,12,control,0.3365844781421538,0.01884018545089783
3,A549,0,3,2,12,control,0.17307749145233964,-0.14466680123891634
1,A549,0,3,2,13,control,0.36161951993461366,0.043875227243357684
2,A549,0,3,2,13,control,0.3687329982342095,0.05098870554295354
3,A549,0,3,2,13,control,0.31126945578184284,-0.00647483690941314
1,A549,0,3,2,14,control,0.22933075110634996,-0.08841354158490602
2,A549,0,3,2,14,control,0.20482686567176916,-0.11291742701948682
1,A549,0,3,2,2,control,0.36256161271965015,0.04481732002839417
2,A549,0,3,2,2,control,0.22288964786422474,-0.09485464482703124
3,A549,0,3,2,2,control,0.2730750229211257,-0.044669269770130304
1,A549,0,3,2,4,control,0.27241023306875156,-0.04533405962250442
2,A549,0,3,2,4,control,0.38187190803669097,0.06412761534543499
3,A549,0,3,2,4,control,0.4808615911499702,0.1631172984587142
4,A549,0,3,2,4,control,0.3505092781359297,0.03276498544467371
5,A549,0,3,2,4,control,0.20993532765971903,-0.10780896503153695
1,A549,0,3,2,5,control,0.12901280637490686,-0.18873148631634912
2,A549,0,3,2,5,control,0.20866373790302745,-0.10908055478822853
3,A549,0,3,2,5,control,0.2204028326822284,-0.09734146000902758
4,A549,0,3,2,5,control,0.3569306386595893,0.039186345968333314
1,A549,0,3,2,6,control,0.2879345133188845,-0.029809779372371503
2,A549,0,3,2,6,control,0.32191116340824993,0.004166870716993953
3,A549,0,3,2,6,control,0.2320617845527658,-0.08568250813849018
1,A549,0,3,2,7,control,0.37167490219821453,0.05393060950695855
2,A549,0,3,2,7,control,0.44602362011029095,0.12827932741903497
3,A549,0,3,2,7,control,0.3051122303336428,-0.01263206235761316
4,A549,0,3,2,7,control,0.3762943874296529,0.058550094738396896
1,A549,0,3,2,8,control,0.3328021591897355,0.01505786649847951
2,A549,0,3,2,8,control,0.49791412633692395,0.18016983364566796
3,A549,0,3,2,8,control,0.4389685550776403,0.12122426238638434
4,A549,0,3,2,8,control,0.39327710540541805,0.07553281271416207
5,A549,0,3,2,8,control,0.34378194438964355,0.026037651698387565
1,A549,0,3,2,9,control,0.24947430230465875,-0.06826999038659723
2,A549,0,3,2,9,control,0.30025776569934043,-0.017486526991915552
3,A549,0,3,2,9,control,0.28484256198684343,-0.032901730704412546
4,A549,0,3,2,9,control,0.3983544355611667,0.0806101428699107
5,A549,0,3,2,9,control,0.4138423552534328,0.09609806256217684
6,A549,0,3,2,9,control,0.572018814904921,0.25427452221366503
